date,nav,acc_nav
2023-05-04,1.0,1.0
2023-05-05,0.9998,0.9998
2023-05-12,0.9937,0.9937
2023-05-19,1.0414,1.0414
2023-05-22,1.0546,1.0546
2023-05-23,1.0442,1.0442
2023-05-24,1.046,1.046
2023-05-25,1.0424,1.0424
2023-05-26,1.0577,1.0577
2023-05-29,1.0505,1.0505
2023-05-30,1.0465,1.0465
2023-05-31,1.0529,1.0529
2023-06-01,1.0533,1.0533
2023-06-02,1.0541,1.0541
2023-06-05,1.0532,1.0532
2023-06-06,1.0291,1.0291
2023-06-07,1.0275,1.0275
2023-06-08,1.0202,1.0202
2023-06-09,1.0229,1.0229
2023-06-12,1.0403,1.0403
2023-06-13,1.0401,1.0401
2023-06-14,1.0566,1.0566
2023-06-15,1.1375,1.1375
2023-06-16,1.1646,1.1646
2023-06-19,1.184,1.184
2023-06-20,1.2299,1.2299
2023-06-21,1.2213,1.2213
2023-06-26,1.2015,1.2015
2023-06-27,1.2022,1.2022
2023-06-28,1.2132,1.2132
2023-06-29,1.2419,1.2419
2023-06-30,1.2547,1.2547
2023-07-03,1.2035,1.2035
2023-07-04,1.2182,1.2182
2023-07-05,1.1984,1.1984
2023-07-06,1.2033,1.2033
2023-07-07,1.1797,1.1797
2023-07-10,1.1499,1.1499
2023-07-11,1.167,1.167
2023-07-12,1.1391,1.1391
2023-07-13,1.1502,1.1502
2023-07-14,1.1555,1.1555
2023-07-17,1.1485,1.1485
2023-07-18,1.1492,1.1492
2023-07-19,1.144,1.144
2023-07-20,1.1187,1.1187
2023-07-21,1.0958,1.0958
2023-07-24,1.0879,1.0879
2023-07-25,1.1073,1.1073
2023-07-26,1.0786,1.0786
2023-07-27,1.0694,1.0694
2023-07-28,1.0732,1.0732
2023-07-31,1.0881,1.0881
2023-08-01,1.0808,1.0808
2023-08-02,1.1003,1.1003
2023-08-03,1.0919,1.0919
2023-08-04,1.1198,1.1198
2023-08-07,1.1182,1.1182
2023-08-08,1.1026,1.1026
2023-08-09,1.0858,1.0858
2023-08-10,1.0852,1.0852
2023-08-11,1.069,1.069
2023-08-14,1.0745,1.0745
2023-08-15,1.0656,1.0656
2023-08-16,1.039,1.039
2023-08-17,1.0921,1.0921
2023-08-18,1.0571,1.0571
2023-08-21,1.0363,1.0363
2023-08-22,1.0544,1.0544
2023-08-23,1.0453,1.0453
2023-08-24,1.0439,1.0439
