date,nav,acc_nav
2024-03-22,1.0824,1.0824
2024-03-25,1.0823,1.0823
2024-03-26,1.0823,1.0823
2024-03-27,1.0825,1.0825
2024-03-28,1.0828,1.0828
2024-03-29,1.0831,1.0831
2024-04-01,1.0831,1.0831
2024-04-02,1.0833,1.0833
2024-04-03,1.0837,1.0837
2024-04-08,1.0842,1.0842
2024-04-09,1.0845,1.0845
2024-04-10,1.0847,1.0847
2024-04-11,1.085,1.085
2024-04-12,1.0855,1.0855
2024-04-15,1.0858,1.0858
2024-04-16,1.0858,1.0858
2024-04-17,1.0876,1.0876
2024-04-18,1.0887,1.0887
2024-04-19,1.0892,1.0892
2024-04-22,1.09,1.09
2024-04-23,1.0908,1.0908
2024-04-24,1.0886,1.0886
2024-04-25,1.089,1.089
2024-04-26,1.0883,1.0883
2024-04-29,1.0874,1.0874
2024-04-30,1.0878,1.0878
2024-05-06,1.0882,1.0882
2024-05-07,1.0886,1.0886
2024-05-08,1.0888,1.0888
2024-05-09,1.0888,1.0888
2024-05-10,1.0888,1.0888
2024-05-13,1.0892,1.0892
2024-05-14,1.0895,1.0895
2024-05-15,1.0895,1.0895
2024-05-16,1.0895,1.0895
2024-05-17,1.0896,1.0896
2024-05-20,1.0898,1.0898
2024-05-21,1.0897,1.0897
2024-05-22,1.0898,1.0898
2024-05-23,1.09,1.09
2024-05-24,1.09,1.09
2024-05-27,1.0901,1.0901
2024-05-28,1.0902,1.0902
2024-05-29,1.0904,1.0904
2024-05-30,1.0904,1.0904
2024-05-31,1.0904,1.0904
2024-06-03,1.0908,1.0908
2024-06-04,1.0908,1.0908
2024-06-05,1.0912,1.0912
2024-06-06,1.0913,1.0913
2024-06-07,1.0914,1.0914
2024-06-11,1.0918,1.0918
2024-06-12,1.0917,1.0917
2024-06-13,1.0919,1.0919
2024-06-14,1.0924,1.0924
2024-06-17,1.0924,1.0924
2024-06-18,1.0927,1.0927
2024-06-19,1.0932,1.0932
2024-06-20,1.0931,1.0931
2024-06-21,1.0926,1.0926
2024-06-24,1.0934,1.0934
2024-06-25,1.0938,1.0938
2024-06-26,1.0942,1.0942
2024-06-27,1.095,1.095
2024-06-28,1.0953,1.0953
2024-06-30,1.0954,1.0954
2024-07-01,1.0937,1.0937
2024-07-02,1.0946,1.0946
2024-07-03,1.0948,1.0948
2024-07-04,1.0946,1.0946
2024-07-05,1.0937,1.0937
2024-07-08,1.0941,1.0941
2024-07-09,1.0945,1.0945
2024-07-10,1.0946,1.0946
2024-07-11,1.0949,1.0949
2024-07-12,1.0952,1.0952
2024-07-15,1.0957,1.0957
2024-07-16,1.0958,1.0958
2024-07-17,1.0959,1.0959
2024-07-18,1.0959,1.0959
2024-07-19,1.0961,1.0961
2024-07-22,1.0971,1.0971
2024-07-23,1.0979,1.0979
2024-07-24,1.0981,1.0981
2024-07-25,1.0989,1.0989
2024-07-26,1.1003,1.1003
2024-07-29,1.1013,1.1013
2024-07-30,1.1017,1.1017
2024-07-31,1.1021,1.1021
2024-08-01,1.1027,1.1027
2024-08-02,1.1034,1.1034
2024-08-05,1.1041,1.1041
2024-08-06,1.1036,1.1036
2024-08-07,1.1039,1.1039
2024-08-08,1.103,1.103
2024-08-09,1.1024,1.1024
2024-08-12,1.1013,1.1013
2024-08-13,1.1013,1.1013
2024-08-14,1.1023,1.1023
2024-08-15,1.1019,1.1019
2024-08-16,1.1019,1.1019
2024-08-19,1.1021,1.1021
2024-08-20,1.1021,1.1021
2024-08-21,1.1015,1.1015
2024-08-22,1.1015,1.1015
2024-08-23,1.1011,1.1011
2024-08-26,1.1009,1.1009
2024-08-27,1.1003,1.1003
2024-08-28,1.1003,1.1003
2024-08-29,1.1005,1.1005
2024-08-30,1.1007,1.1007
2024-09-02,1.1014,1.1014
2024-09-03,1.1022,1.1022
2024-09-04,1.1032,1.1032
2024-09-05,1.1034,1.1034
2024-09-06,1.1034,1.1034
2024-09-09,1.1041,1.1041
2024-09-10,1.1047,1.1047
2024-09-11,1.1053,1.1053
2024-09-12,1.1057,1.1057
2024-09-13,1.1068,1.1068
2024-09-18,1.1086,1.1086
2024-09-19,1.1083,1.1083
2024-09-20,1.1081,1.1081
2024-09-23,1.1084,1.1084
2024-09-24,1.1081,1.1081
2024-09-25,1.1091,1.1091
2024-09-26,1.1081,1.1081
2024-09-27,1.1045,1.1045
2024-09-30,1.1006,1.1006
2024-10-08,1.0991,1.0991
2024-10-09,1.098,1.098
2024-10-10,1.0992,1.0992
2024-10-11,1.1005,1.1005
2024-10-14,1.1025,1.1025
2024-10-15,1.103,1.103
2024-10-16,1.103,1.103
2024-10-17,1.1033,1.1033
2024-10-18,1.103,1.103
2024-10-21,1.1031,1.1031
2024-10-22,1.1029,1.1029
2024-10-23,1.1024,1.1024
2024-10-24,1.1024,1.1024
2024-10-25,1.1022,1.1022
2024-10-28,1.1023,1.1023
2024-10-29,1.102,1.102
2024-10-30,1.102,1.102
2024-10-31,1.102,1.102
2024-11-01,1.1023,1.1023
2024-11-04,1.1023,1.1023
2024-11-05,1.1023,1.1023
