date,nav
2024-08-27,1.0
2024-08-30,1.0
2024-09-06,0.9994
2024-09-09,0.9983
2024-09-10,0.998
2024-09-11,0.9991
2024-09-12,0.9962
2024-09-13,0.9939
2024-09-18,0.998
2024-09-19,1.003
2024-09-20,1.0021
2024-09-23,1.0046
2024-09-24,1.0478
2024-09-25,1.0776
2024-09-26,1.1221
2024-09-27,1.1761
2024-09-30,1.2329
2024-10-08,1.2567
2024-10-09,1.2056
2024-10-10,1.2188
2024-10-11,1.1844
2024-10-14,1.204
2024-10-15,1.1284
2024-10-16,1.1192
2024-10-17,1.1152
2024-10-18,1.1519
2024-10-21,1.1571
2024-10-22,1.1627
2024-10-23,1.1688
2024-10-24,1.153
2024-10-25,1.1615
2024-10-28,1.1602
2024-10-29,1.1502
2024-10-30,1.1399
2024-10-31,1.1375
2024-11-01,1.1412
2024-11-04,1.1575
2024-11-05,1.1828
2024-11-06,1.1744
2024-11-07,1.2081
2024-11-08,1.1976
2024-11-11,1.2029
2024-11-12,1.1904
2024-11-13,1.1971
2024-11-14,1.1789
2024-11-15,1.16
2024-11-18,1.1542
2024-11-19,1.1599
2024-11-20,1.1625
2024-11-21,1.1616
2024-11-22,1.1278
2024-11-25,1.1231
2024-11-26,1.1205
2024-11-27,1.1345
2024-11-28,1.1243
2024-11-29,1.1341
2024-12-02,1.1413
2024-12-03,1.1412
2024-12-04,1.1367
2024-12-05,1.1313
2024-12-06,1.1492
2024-12-09,1.1489
2024-12-10,1.1583
2024-12-11,1.1556
2024-12-12,1.1669
2024-12-13,1.1381
2024-12-16,1.1335
2024-12-17,1.1415
2024-12-18,1.1464
2024-12-19,1.1468
2024-12-20,1.1403
2024-12-23,1.143
2024-12-24,1.1576
2024-12-25,1.1564
2024-12-26,1.1536
2024-12-27,1.1523
2024-12-30,1.1583
2024-12-31,1.1454
2025-01-02,1.1156
2025-01-03,1.1065
2025-01-06,1.1034
2025-01-07,1.1053
2025-01-08,1.1009
2025-01-09,1.1006
2025-01-10,1.0911
2025-01-13,1.0906
2025-01-14,1.1033
2025-01-15,1.0953
2025-01-16,1.0949
2025-01-17,1.099
2025-01-20,1.1076
2025-01-21,1.1095
2025-01-22,1.0957
2025-01-23,1.0962
2025-01-24,1.1055
2025-01-27,1.1027
2025-02-05,1.097
2025-02-06,1.1106
2025-02-07,1.1254
2025-02-10,1.1265
2025-02-11,1.119
2025-02-12,1.1301
2025-02-13,1.1293
2025-02-14,1.1421
2025-02-17,1.1391
2025-02-18,1.1321
2025-02-19,1.1406
2025-02-20,1.1373
2025-02-21,1.1513
2025-02-24,1.149
2025-02-25,1.1353
2025-02-26,1.1431
2025-02-27,1.1464
2025-02-28,1.1287
2025-03-03,1.1287
2025-03-04,1.1229
2025-03-05,1.1277
2025-03-06,1.1419
2025-03-07,1.1391
